puuid,match_id
-wOrJ0epX6d0-CLuXUqrsJfEhwW6GUjdQ-hJ1QIXnX8rr8hNeGuyRksBk3vMpwJzvG9W3kZFpG7c4w,EUW1_7813764637
-wOrJ0epX6d0-CLuXUqrsJfEhwW6GUjdQ-hJ1QIXnX8rr8hNeGuyRksBk3vMpwJzvG9W3kZFpG7c4w,EUW1_7813723724
-wOrJ0epX6d0-CLuXUqrsJfEhwW6GUjdQ-hJ1QIXnX8rr8hNeGuyRksBk3vMpwJzvG9W3kZFpG7c4w,EUW1_7813689305
-wOrJ0epX6d0-CLuXUqrsJfEhwW6GUjdQ-hJ1QIXnX8rr8hNeGuyRksBk3vMpwJzvG9W3kZFpG7c4w,EUW1_7813639671
-wOrJ0epX6d0-CLuXUqrsJfEhwW6GUjdQ-hJ1QIXnX8rr8hNeGuyRksBk3vMpwJzvG9W3kZFpG7c4w,EUW1_7813596925
-wOrJ0epX6d0-CLuXUqrsJfEhwW6GUjdQ-hJ1QIXnX8rr8hNeGuyRksBk3vMpwJzvG9W3kZFpG7c4w,EUW1_7813554459
-wOrJ0epX6d0-CLuXUqrsJfEhwW6GUjdQ-hJ1QIXnX8rr8hNeGuyRksBk3vMpwJzvG9W3kZFpG7c4w,EUW1_7813483948
-wOrJ0epX6d0-CLuXUqrsJfEhwW6GUjdQ-hJ1QIXnX8rr8hNeGuyRksBk3vMpwJzvG9W3kZFpG7c4w,EUW1_7813412457
-wOrJ0epX6d0-CLuXUqrsJfEhwW6GUjdQ-hJ1QIXnX8rr8hNeGuyRksBk3vMpwJzvG9W3kZFpG7c4w,EUW1_7813353003
udFlKFX6nvDW-TxHVo05i_1VXwpQKTWVYp8Ctffk2M4j96GRoD598qEuybTp5wPuuEFwF6HX0uKqzw,EUW1_7813230030
udFlKFX6nvDW-TxHVo05i_1VXwpQKTWVYp8Ctffk2M4j96GRoD598qEuybTp5wPuuEFwF6HX0uKqzw,EUW1_7813183746
udFlKFX6nvDW-TxHVo05i_1VXwpQKTWVYp8Ctffk2M4j96GRoD598qEuybTp5wPuuEFwF6HX0uKqzw,EUW1_7813160938
udFlKFX6nvDW-TxHVo05i_1VXwpQKTWVYp8Ctffk2M4j96GRoD598qEuybTp5wPuuEFwF6HX0uKqzw,EUW1_7812997728
udFlKFX6nvDW-TxHVo05i_1VXwpQKTWVYp8Ctffk2M4j96GRoD598qEuybTp5wPuuEFwF6HX0uKqzw,EUW1_7812972087
udFlKFX6nvDW-TxHVo05i_1VXwpQKTWVYp8Ctffk2M4j96GRoD598qEuybTp5wPuuEFwF6HX0uKqzw,EUW1_7812951199
udFlKFX6nvDW-TxHVo05i_1VXwpQKTWVYp8Ctffk2M4j96GRoD598qEuybTp5wPuuEFwF6HX0uKqzw,EUW1_7812913787
udFlKFX6nvDW-TxHVo05i_1VXwpQKTWVYp8Ctffk2M4j96GRoD598qEuybTp5wPuuEFwF6HX0uKqzw,EUW1_7812905356
udFlKFX6nvDW-TxHVo05i_1VXwpQKTWVYp8Ctffk2M4j96GRoD598qEuybTp5wPuuEFwF6HX0uKqzw,EUW1_7812898301
udFlKFX6nvDW-TxHVo05i_1VXwpQKTWVYp8Ctffk2M4j96GRoD598qEuybTp5wPuuEFwF6HX0uKqzw,EUW1_7808799305
tGPRPslznxgen_0kwQ9ZvE98uwSzP0g4In9uBG34PddCiMKtIYB3Q1kz54QxwelDRYzV3WxSolr2Xw,EUW1_7812926647
tGPRPslznxgen_0kwQ9ZvE98uwSzP0g4In9uBG34PddCiMKtIYB3Q1kz54QxwelDRYzV3WxSolr2Xw,EUW1_7812352368
tGPRPslznxgen_0kwQ9ZvE98uwSzP0g4In9uBG34PddCiMKtIYB3Q1kz54QxwelDRYzV3WxSolr2Xw,EUW1_7812333652
tGPRPslznxgen_0kwQ9ZvE98uwSzP0g4In9uBG34PddCiMKtIYB3Q1kz54QxwelDRYzV3WxSolr2Xw,EUW1_7812272622
tGPRPslznxgen_0kwQ9ZvE98uwSzP0g4In9uBG34PddCiMKtIYB3Q1kz54QxwelDRYzV3WxSolr2Xw,EUW1_7812218141
tGPRPslznxgen_0kwQ9ZvE98uwSzP0g4In9uBG34PddCiMKtIYB3Q1kz54QxwelDRYzV3WxSolr2Xw,EUW1_7812185510
tGPRPslznxgen_0kwQ9ZvE98uwSzP0g4In9uBG34PddCiMKtIYB3Q1kz54QxwelDRYzV3WxSolr2Xw,EUW1_7812090283
tGPRPslznxgen_0kwQ9ZvE98uwSzP0g4In9uBG34PddCiMKtIYB3Q1kz54QxwelDRYzV3WxSolr2Xw,EUW1_7812048187
tGPRPslznxgen_0kwQ9ZvE98uwSzP0g4In9uBG34PddCiMKtIYB3Q1kz54QxwelDRYzV3WxSolr2Xw,EUW1_7809529156
tGPRPslznxgen_0kwQ9ZvE98uwSzP0g4In9uBG34PddCiMKtIYB3Q1kz54QxwelDRYzV3WxSolr2Xw,EUW1_7808992343
ua1znJRaqN0mIhdiGPnBV0ynILSiU7FcmGT4iL1JUB1ZR_nBTeneNaSf5OB0P6WBZEBLuRbjeUdM_g,EUW1_7812940220
ua1znJRaqN0mIhdiGPnBV0ynILSiU7FcmGT4iL1JUB1ZR_nBTeneNaSf5OB0P6WBZEBLuRbjeUdM_g,EUW1_7812922403
ua1znJRaqN0mIhdiGPnBV0ynILSiU7FcmGT4iL1JUB1ZR_nBTeneNaSf5OB0P6WBZEBLuRbjeUdM_g,EUW1_7811917184
ua1znJRaqN0mIhdiGPnBV0ynILSiU7FcmGT4iL1JUB1ZR_nBTeneNaSf5OB0P6WBZEBLuRbjeUdM_g,EUW1_7811846538
ua1znJRaqN0mIhdiGPnBV0ynILSiU7FcmGT4iL1JUB1ZR_nBTeneNaSf5OB0P6WBZEBLuRbjeUdM_g,EUW1_7811832117
ua1znJRaqN0mIhdiGPnBV0ynILSiU7FcmGT4iL1JUB1ZR_nBTeneNaSf5OB0P6WBZEBLuRbjeUdM_g,EUW1_7810693678
ua1znJRaqN0mIhdiGPnBV0ynILSiU7FcmGT4iL1JUB1ZR_nBTeneNaSf5OB0P6WBZEBLuRbjeUdM_g,EUW1_7810655121
ua1znJRaqN0mIhdiGPnBV0ynILSiU7FcmGT4iL1JUB1ZR_nBTeneNaSf5OB0P6WBZEBLuRbjeUdM_g,EUW1_7810508202
ua1znJRaqN0mIhdiGPnBV0ynILSiU7FcmGT4iL1JUB1ZR_nBTeneNaSf5OB0P6WBZEBLuRbjeUdM_g,EUW1_7809558374
